"Country","Total_Revenue","Number_of_Customers","Number_of_Transactions"
"United Kingdom",7285024.64400295,3920,349203
"Netherlands",285446.34,9,2359
"EIRE",265262.459999998,3,7226
"Germany",228678.399999998,94,9025
"France",208934.31,87,8326
"Australia",139843.949999999,9,1253
"Spain",62821.1599999999,29,2498
"Switzerland",56419.29,20,1825
"Belgium",41551.2599999999,24,2006
"Sweden",38367.83,8,450
"Japan",37416.37,8,321
"Norway",36165.44,10,1071
"Portugal",33375.84,19,1453
"Finland",22546.08,12,685
"Singapore",21279.29,1,222
"Channel Islands",20440.54,9,747
"Denmark",18501.92,8,395
"Italy",17483.24,14,758
"Cyprus",11688.45,6,567
"Austria",9483.5,9,369
"Poland",7334.65,6,330
"Israel",7215.84,3,245
"Greece",4760.52,4,145
"Iceland",4310,1,182
"Canada",3666.38,4,151
"USA",3580.39,4,179
"Malta",2725.59,2,112
"Unspecified",2660.77,4,241
"United Arab Emirates",1902.28,2,68
"Lebanon",1693.88,1,45
"Lithuania",1661.06,1,35
"European Community",1300.25,1,60
"Brazil",1143.6,1,32
"RSA",1002.31,1,57
"Czech Republic",826.74,1,25
"Bahrain",548.4,2,17
"Saudi Arabia",145.92,1,9
