"CustomerID","Total_Purchase_Value","Customer_Value"
12346,77183.6,"Premium"
12347,4310,"Premium"
12348,1797.24,"Premium"
12349,1757.55,"Premium"
12350,334.4,"Medium Value"
12352,2506.04,"Premium"
12353,89,"Low Value"
12354,1079.4,"High Value"
12355,459.4,"Medium Value"
12356,2811.43,"Premium"
12357,6207.67,"Premium"
12358,1168.06,"High Value"
12359,6310.03,"Premium"
12360,2662.06,"Premium"
12361,189.9,"Low Value"
12362,5226.23,"Premium"
12363,552,"Medium Value"
12364,1313.1,"High Value"
12365,641.38,"Medium Value"
12367,168.9,"Low Value"
12370,3541.94,"Premium"
12371,1887.96,"Premium"
12372,1298.04,"High Value"
12373,364.6,"Medium Value"
12374,742.93,"High Value"
12375,457.5,"Medium Value"
12377,1628.12,"High Value"
12378,4008.62,"Premium"
12379,852.24,"High Value"
12380,2724.81,"Premium"
12381,1845.31,"Premium"
12383,1850.56,"Premium"
12384,585.27,"Medium Value"
12386,401.9,"Medium Value"
12388,2780.66,"Premium"
12390,549.84,"Medium Value"
12391,439.66,"Medium Value"
12393,1582.6,"High Value"
12394,1272.48,"High Value"
12395,3018.63,"Premium"
12397,2409.9,"Premium"
12398,1635.66,"High Value"
12399,1108.65,"High Value"
12401,84.3,"Low Value"
12402,225.6,"Low Value"
12403,427.7,"Medium Value"
12405,1710.39,"Premium"
12406,3415.3,"Premium"
12407,1708.12,"Premium"
12408,2888.55,"Premium"
12409,11072.67,"Premium"
12410,693.33,"High Value"
12412,1226.88,"High Value"
12413,758.1,"High Value"
12414,562.41,"Medium Value"
12415,124914.53,"Premium"
12417,3649.1,"Premium"
12418,668.58,"High Value"
12420,600.39,"Medium Value"
12421,807.04,"High Value"
12422,803.56,"High Value"
12423,1859.31,"Premium"
12424,1760.96,"Premium"
12425,777.2,"High Value"
12426,582.73,"Medium Value"
12427,825.8,"High Value"
12428,7956.46,"Premium"
12429,3750.4,"Premium"
12430,256.4,"Low Value"
12431,6419.95,"Premium"
12432,5059.32,"Premium"
12433,13375.87,"Premium"
12434,806.14,"High Value"
12435,7829.89,"Premium"
12436,509.01,"Medium Value"
12437,4951.41,"Premium"
12438,2906.85,"Premium"
12441,173.55,"Low Value"
12442,172.06,"Low Value"
12444,5005.46,"Premium"
12445,133.4,"Low Value"
12446,1002.31,"High Value"
12447,476.49,"Medium Value"
12448,449.45,"Medium Value"
12449,4067.29,"Premium"
12450,197.88,"Low Value"
12451,9035.52,"Premium"
12452,430.57,"Medium Value"
12453,707.09,"High Value"
12454,3528.34,"Premium"
12455,2466.86,"Premium"
12456,3181.04,"Premium"
12457,2363.23,"Premium"
12458,947.4,"High Value"
12461,826.88,"High Value"
12462,1189.59,"High Value"
12463,1344.78,"High Value"
12464,1212.05,"High Value"
12465,742.19,"High Value"
12468,729.54,"High Value"
12471,19788.6499999999,"Premium"
12472,6572.11,"Premium"
12473,3928.05,"Premium"
12474,7324.09,"Premium"
12475,723.38,"High Value"
12476,6816.42,"Premium"
12477,13219.74,"Premium"
12478,680.99,"High Value"
12479,527.2,"Medium Value"
12480,3281.63,"Premium"
12481,5579.82,"Premium"
12483,2484.98,"Premium"
12484,4527.32,"Premium"
12488,1298.66,"High Value"
12489,334.93,"Medium Value"
12490,5417.93,"Premium"
12491,460.4,"Medium Value"
12492,263.21,"Low Value"
12493,433.74,"Medium Value"
12494,1246.1,"High Value"
12497,1043.1,"High Value"
12498,403.7,"Medium Value"
12500,4257.82,"Premium"
12501,2169.39,"Premium"
12502,3723.87,"Premium"
12504,482.05,"Medium Value"
12506,73.5,"Low Value"
12507,1304.81,"High Value"
12508,397.88,"Medium Value"
12509,176.5,"Low Value"
12510,982.57,"High Value"
12512,132.18,"Low Value"
12513,612.29,"Medium Value"
12514,1017.68,"High Value"
12515,383.7,"Medium Value"
12516,1312.06,"High Value"
12517,2481.6,"Premium"
12518,2056.89,"Premium"
12519,330.84,"Medium Value"
12520,2634.26,"Premium"
12521,599.68,"Medium Value"
12522,192.72,"Low Value"
12523,1789.77,"Premium"
12524,4485.72,"Premium"
12526,1316.66,"High Value"
12527,348.71,"Medium Value"
12528,1933.48,"Premium"
12530,1662.28,"Premium"
12531,125.22,"Low Value"
12532,349.83,"Medium Value"
12534,1089.18,"High Value"
12535,716.35,"High Value"
12536,12601.83,"Premium"
12538,363.95,"Medium Value"
12539,5568.35,"Premium"
12540,13400.24,"Premium"
12541,981.18,"High Value"
12544,372.7,"Medium Value"
12545,1000.39,"High Value"
12546,1161.5,"High Value"
12547,207.8,"Low Value"
12548,95.2,"Low Value"
12550,964.829999999999,"High Value"
12551,168,"Low Value"
12552,437.82,"Medium Value"
12553,3692.28,"Premium"
12556,599.56,"Medium Value"
12557,11990.96,"Premium"
12558,269.96,"Low Value"
12559,561.71,"Medium Value"
12560,2134.01,"Premium"
12561,238.85,"Low Value"
12562,3781.74,"Premium"
12564,456.9,"Medium Value"
12565,145.92,"Low Value"
12566,351.65,"Medium Value"
12567,9401.27999999999,"Premium"
12569,4124.69,"Premium"
12571,519.61,"Medium Value"
12572,1020.42,"High Value"
12573,160.54,"Low Value"
12574,218.45,"Low Value"
12576,1315.83,"High Value"
12577,626.6,"Medium Value"
12578,2794.51,"Premium"
12579,440.42,"Medium Value"
12580,415.7,"Medium Value"
12581,197.71,"Low Value"
12582,511.36,"Medium Value"
12583,7281.37999999999,"Premium"
12584,2338.15,"Premium"
12585,2040.1,"Premium"
12586,196.94,"Low Value"
12587,144,"Low Value"
12588,214.9,"Low Value"
12589,646.68,"Medium Value"
12590,9864.26,"Premium"
12591,452.85,"Medium Value"
12592,437.6,"Medium Value"
12593,418.1,"Medium Value"
12594,3338.22,"Premium"
12596,618.27,"Medium Value"
12597,3811.22,"Premium"
12598,3023.08,"Premium"
12599,1032.58,"High Value"
12600,2599.04,"Premium"
