"InvoiceNo","StockCode","CustomerID","Quantity","InvoiceDate"
"536365","85123A",17850,6,2010-12-01 08:26:00
"536365","71053",17850,6,2010-12-01 08:26:00
"536365","84406B",17850,8,2010-12-01 08:26:00
"536365","84029G",17850,6,2010-12-01 08:26:00
"536365","84029E",17850,6,2010-12-01 08:26:00
"536365","22752",17850,2,2010-12-01 08:26:00
"536365","21730",17850,6,2010-12-01 08:26:00
"536366","22633",17850,6,2010-12-01 08:28:00
"536366","22632",17850,6,2010-12-01 08:28:00
"536367","84879",13047,32,2010-12-01 08:34:00
"536367","22745",13047,6,2010-12-01 08:34:00
"536367","22748",13047,6,2010-12-01 08:34:00
"536367","22749",13047,8,2010-12-01 08:34:00
"536367","22310",13047,6,2010-12-01 08:34:00
"536367","84969",13047,6,2010-12-01 08:34:00
"536367","22623",13047,3,2010-12-01 08:34:00
"536367","22622",13047,2,2010-12-01 08:34:00
"536367","21754",13047,3,2010-12-01 08:34:00
"536367","21755",13047,3,2010-12-01 08:34:00
"536367","21777",13047,4,2010-12-01 08:34:00
"536367","48187",13047,4,2010-12-01 08:34:00
"536368","22960",13047,6,2010-12-01 08:34:00
"536368","22913",13047,3,2010-12-01 08:34:00
"536368","22912",13047,3,2010-12-01 08:34:00
"536368","22914",13047,3,2010-12-01 08:34:00
"536369","21756",13047,3,2010-12-01 08:35:00
"536370","22728",12583,24,2010-12-01 08:45:00
"536370","22727",12583,24,2010-12-01 08:45:00
"536370","22726",12583,12,2010-12-01 08:45:00
"536370","21724",12583,12,2010-12-01 08:45:00
"536370","21883",12583,24,2010-12-01 08:45:00
"536370","10002",12583,48,2010-12-01 08:45:00
"536370","21791",12583,24,2010-12-01 08:45:00
"536370","21035",12583,18,2010-12-01 08:45:00
"536370","22326",12583,24,2010-12-01 08:45:00
"536370","22629",12583,24,2010-12-01 08:45:00
"536370","22659",12583,24,2010-12-01 08:45:00
"536370","22631",12583,24,2010-12-01 08:45:00
"536370","22661",12583,20,2010-12-01 08:45:00
"536370","21731",12583,24,2010-12-01 08:45:00
"536370","22900",12583,24,2010-12-01 08:45:00
"536370","21913",12583,12,2010-12-01 08:45:00
"536370","22540",12583,24,2010-12-01 08:45:00
"536370","22544",12583,24,2010-12-01 08:45:00
"536370","22492",12583,36,2010-12-01 08:45:00
"536370","POST",12583,3,2010-12-01 08:45:00
"536371","22086",13748,80,2010-12-01 09:00:00
"536372","22632",17850,6,2010-12-01 09:01:00
"536372","22633",17850,6,2010-12-01 09:01:00
"536373","85123A",17850,6,2010-12-01 09:02:00
"536373","71053",17850,6,2010-12-01 09:02:00
"536373","84406B",17850,8,2010-12-01 09:02:00
"536373","20679",17850,6,2010-12-01 09:02:00
"536373","37370",17850,6,2010-12-01 09:02:00
"536373","21871",17850,6,2010-12-01 09:02:00
"536373","21071",17850,6,2010-12-01 09:02:00
"536373","21068",17850,6,2010-12-01 09:02:00
"536373","82483",17850,2,2010-12-01 09:02:00
"536373","82486",17850,4,2010-12-01 09:02:00
"536373","82482",17850,6,2010-12-01 09:02:00
"536373","82494L",17850,6,2010-12-01 09:02:00
"536373","84029G",17850,6,2010-12-01 09:02:00
"536373","84029E",17850,6,2010-12-01 09:02:00
"536373","22752",17850,2,2010-12-01 09:02:00
"536373","21730",17850,6,2010-12-01 09:02:00
"536374","21258",15100,32,2010-12-01 09:09:00
"536375","85123A",17850,6,2010-12-01 09:32:00
"536375","71053",17850,6,2010-12-01 09:32:00
"536375","84406B",17850,8,2010-12-01 09:32:00
"536375","20679",17850,6,2010-12-01 09:32:00
"536375","37370",17850,6,2010-12-01 09:32:00
"536375","21871",17850,6,2010-12-01 09:32:00
"536375","21071",17850,6,2010-12-01 09:32:00
"536375","21068",17850,6,2010-12-01 09:32:00
"536375","82483",17850,2,2010-12-01 09:32:00
"536375","82486",17850,4,2010-12-01 09:32:00
"536375","82482",17850,6,2010-12-01 09:32:00
"536375","82494L",17850,6,2010-12-01 09:32:00
"536375","84029G",17850,6,2010-12-01 09:32:00
"536375","84029E",17850,6,2010-12-01 09:32:00
"536375","22752",17850,2,2010-12-01 09:32:00
"536375","21730",17850,6,2010-12-01 09:32:00
"536376","22114",15291,48,2010-12-01 09:32:00
"536376","21733",15291,64,2010-12-01 09:32:00
"536377","22632",17850,6,2010-12-01 09:34:00
"536377","22633",17850,6,2010-12-01 09:34:00
"536378","22386",14688,10,2010-12-01 09:37:00
"536378","85099C",14688,10,2010-12-01 09:37:00
"536378","21033",14688,10,2010-12-01 09:37:00
"536378","20723",14688,10,2010-12-01 09:37:00
"536378","84997B",14688,12,2010-12-01 09:37:00
"536378","84997C",14688,6,2010-12-01 09:37:00
"536378","21094",14688,12,2010-12-01 09:37:00
"536378","20725",14688,10,2010-12-01 09:37:00
"536378","21559",14688,6,2010-12-01 09:37:00
"536378","22352",14688,6,2010-12-01 09:37:00
"536378","21212",14688,120,2010-12-01 09:37:00
"536378","21975",14688,24,2010-12-01 09:37:00
"536378","21977",14688,24,2010-12-01 09:37:00
"536378","84991",14688,24,2010-12-01 09:37:00
"536378","84519A",14688,6,2010-12-01 09:37:00
"536378","85183B",14688,48,2010-12-01 09:37:00
"536378","85071B",14688,96,2010-12-01 09:37:00
"536378","21931",14688,10,2010-12-01 09:37:00
"536378","21929",14688,10,2010-12-01 09:37:00
"536380","22961",17809,24,2010-12-01 09:41:00
"536381","22139",15311,23,2010-12-01 09:41:00
"536381","84854",15311,5,2010-12-01 09:41:00
"536381","22411",15311,10,2010-12-01 09:41:00
"536381","82567",15311,2,2010-12-01 09:41:00
"536381","21672",15311,6,2010-12-01 09:41:00
"536381","22774",15311,24,2010-12-01 09:41:00
"536381","22771",15311,24,2010-12-01 09:41:00
"536381","71270",15311,1,2010-12-01 09:41:00
"536381","22262",15311,1,2010-12-01 09:41:00
"536381","22637",15311,1,2010-12-01 09:41:00
"536381","21934",15311,10,2010-12-01 09:41:00
"536381","21169",15311,3,2010-12-01 09:41:00
"536381","21166",15311,1,2010-12-01 09:41:00
"536381","21175",15311,2,2010-12-01 09:41:00
"536381","37444A",15311,1,2010-12-01 09:41:00
"536381","37444C",15311,1,2010-12-01 09:41:00
"536381","22086",15311,4,2010-12-01 09:41:00
"536381","22083",15311,1,2010-12-01 09:41:00
"536381","84971S",15311,6,2010-12-01 09:41:00
"536381","71270",15311,3,2010-12-01 09:41:00
"536381","47580",15311,2,2010-12-01 09:41:00
"536381","22261",15311,1,2010-12-01 09:41:00
"536381","84832",15311,1,2010-12-01 09:41:00
"536381","22644",15311,1,2010-12-01 09:41:00
"536381","21533",15311,1,2010-12-01 09:41:00
"536381","21557",15311,2,2010-12-01 09:41:00
"536381","15056BL",15311,2,2010-12-01 09:41:00
"536381","15056N",15311,2,2010-12-01 09:41:00
"536381","22646",15311,4,2010-12-01 09:41:00
"536381","22176",15311,1,2010-12-01 09:41:00
"536381","22438",15311,1,2010-12-01 09:41:00
"536381","21731",15311,2,2010-12-01 09:41:00
"536381","22778",15311,3,2010-12-01 09:41:00
"536381","22719",15311,36,2010-12-01 09:41:00
"536381","21523",15311,10,2010-12-01 09:41:00
"536382","10002",16098,12,2010-12-01 09:45:00
"536382","21912",16098,8,2010-12-01 09:45:00
"536382","21832",16098,12,2010-12-01 09:45:00
"536382","22411",16098,10,2010-12-01 09:45:00
"536382","22379",16098,10,2010-12-01 09:45:00
"536382","22381",16098,50,2010-12-01 09:45:00
"536382","22798",16098,8,2010-12-01 09:45:00
"536382","22726",16098,4,2010-12-01 09:45:00
"536382","22926",16098,12,2010-12-01 09:45:00
"536382","22839",16098,2,2010-12-01 09:45:00
"536382","22838",16098,2,2010-12-01 09:45:00
"536382","22783",16098,4,2010-12-01 09:45:00
"536384","82484",18074,3,2010-12-01 09:53:00
"536384","84755",18074,48,2010-12-01 09:53:00
"536384","22464",18074,12,2010-12-01 09:53:00
"536384","21324",18074,6,2010-12-01 09:53:00
